,Gr Liv Area,Total Bsmt SF,Garage Cars,Garage Area,Year Built,Year Remod/Add,TotRms AbvGrd,Mas Vnr Area,Fireplaces,Lot Frontage,Lot Area,porch_deck_sqft,all_baths_count,Neighborhood,MS Zoning,Bldg Type,Mas Vnr Type,House Style,Foundation,Sale Type,Overall Qual,Overall Cond,Exter Qual,Bsmt Qual,Heating QC,Kitchen Qual,Functional,Electrical,Garage Qual,SalePrice
0,1587,1587.0,2.0,525.0,1971,1971,7,302.0,1,85.0,10667,44,2.0,NAmes,RL,1Fam,BrkFace,1Story,CBlock,WD ,6,6,TA,TA,TA,TA,Typ,SBrkr,TA,167300
1,2267,1005.0,2.0,498.0,1937,1980,7,0.0,2,107.0,12888,521,3.0,Sawyer,RL,1Fam,None,2Story,CBlock,WD ,7,8,TA,TA,TA,TA,Typ,SBrkr,TA,219000
2,864,864.0,2.0,720.0,1950,2002,5,0.0,0,60.0,7200,194,2.0,NAmes,RL,1Fam,None,1Story,CBlock,WD ,5,8,TA,TA,Gd,Gd,Typ,SBrkr,TA,129000
3,2260,1306.0,2.0,533.0,1996,1997,7,0.0,0,80.0,14000,340,4.0,ClearCr,RL,1Fam,None,2Story,PConc,WD ,7,5,Gd,Ex,Ex,Gd,Typ,SBrkr,TA,328000
4,2501,1242.0,3.0,751.0,1995,1995,9,466.0,1,88.73333333333333,11929,279,3.0,NoRidge,RL,1Fam,BrkFace,2Story,PConc,WD ,8,7,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,290000
5,1489,778.0,1.0,240.0,1940,1950,7,0.0,1,60.0,9900,335,2.0,SWISU,RL,1Fam,None,1.5Fin,BrkTil,WD ,6,7,TA,TA,TA,TA,Typ,SBrkr,TA,139500
6,1428,712.0,2.0,576.0,1900,1970,7,0.0,0,58.0,6451,348,2.0,OldTown,RM,1Fam,None,2Story,Stone,WD ,7,7,TA,TA,Gd,TA,Typ,SBrkr,TA,139900
7,1786,1778.0,3.0,715.0,2002,2003,6,240.0,1,71.15384615384616,14860,217,3.0,CollgCr,RL,1Fam,BrkFace,1Story,PConc,WD ,8,5,Gd,Ex,Ex,Gd,Typ,SBrkr,TA,300000
8,1096,1008.0,1.0,352.0,1975,1975,5,0.0,1,65.0,6305,0,2.0,Edwards,RL,1Fam,None,SLvl,CBlock,WD ,6,6,TA,TA,TA,TA,Typ,SBrkr,TA,125200
9,1252,600.0,2.0,462.0,1999,2000,4,212.0,0,24.0,2160,48,4.0,Somerst,FV,Twnhs,BrkFace,2Story,PConc,WD ,7,5,Gd,Gd,Ex,Gd,Typ,SBrkr,TA,160000
